"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WESD"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-06","0.00","0.0",,"39","31","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-07","0.00","0.0",,"32","24","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-08","0.12","0.3",,"35","26","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-09","0.00","0.0",,"48","30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-10","0.00","0.0",,"44","34","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-11","0.05","0.0",,"55","34","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-12","0.20","0.0",,"55","42","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-13","0.00","0.0",,"55","35","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-14","0.90","0.0",,"59","42","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-15","0.39","0.0",,"41","11","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-16","0.00","0.0",,"32","10","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-17","0.00","0.0",,"37","24","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-18","0.69","0.0",,"60","38","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-19","0.00","0.0",,"43","34","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-20","0.00","0.0",,"57","35","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-21","0.00","0.0",,"60","37","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-22","0.00","0.0",,"38","28","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-23","0.79","4.4",,"35","31","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-24","0.00","0.0",,"39","31","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-25","0.31","1.1",,"42","32","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-26","0.02","0.5",,"37","23","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-27","0.00","0.0",,"38","21","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-28","0.00","0.0",,"53","35","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-29","0.34","0.0",,"47","36","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-30","0.00","0.0",,"41","34","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-31","0.16","0.5",,"40","28","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-02-01","0.00","0.0",,"42","30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-02-02","0.00","0.0",,"45","31","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-02-03","0.61","0.0",,"55","38","0.0"
